"Team1","Team2","Played","Won","Drawn","Lost"
"1","France","Romania",15,0.466666666666667,0.333333333333333,0.2
"2","France","Albania",6,0.666666666666667,0.166666666666667,0.166666666666667
"3","France","Switzerland",37,0.432432432432432,0.243243243243243,0.324324324324324
"4","France","England",30,0.266666666666667,0.166666666666667,0.566666666666667
"5","France","Wales",4,0.5,0.25,0.25
"6","France","Russia",18,0.277777777777778,0.388888888888889,0.333333333333333
"7","France","Slovakia",4,0.5,0.25,0.25
"8","France","Spain",34,0.352941176470588,0.205882352941176,0.441176470588235
"9","France","Czech Republic",24,0.333333333333333,0.25,0.416666666666667
"10","France","Turkey",4,1,0,0
"11","France","Croatia",5,0.6,0.4,0
"12","France","Germany",27,0.444444444444444,0.222222222222222,0.333333333333333
"13","France","Ukraine",9,0.555555555555556,0.333333333333333,0.111111111111111
"14","France","Poland",16,0.5,0.3125,0.1875
"15","France","Northern Ireland",8,0.625,0.375,0
"16","France","Belgium",73,0.328767123287671,0.26027397260274,0.410958904109589
"17","France","Italy",37,0.243243243243243,0.27027027027027,0.486486486486487
"18","France","Repulic of Ireland",15,0.4,0.333333333333333,0.266666666666667
"19","France","Sweden",19,0.473684210526316,0.263157894736842,0.263157894736842
"20","France","Portugal",24,0.75,0.0416666666666667,0.208333333333333
"21","France","Iceland",11,0.727272727272727,0.272727272727273,0
"22","France","Austria",23,0.521739130434783,0.0869565217391304,0.391304347826087
"23","France","Hungary",22,0.363636363636364,0.0909090909090909,0.545454545454545
"24","Romania","Albania",18,0.722222222222222,0.166666666666667,0.111111111111111
"25","Romania","Switzerland",12,0.416666666666667,0.25,0.333333333333333
"26","Romania","England",11,0.272727272727273,0.545454545454545,0.181818181818182
"27","Romania","Wales",5,0.6,0.2,0.2
"28","Romania","Russia",10,0.4,0.2,0.4
"29","Romania","Slovakia",11,0.454545454545455,0.454545454545455,0.0909090909090909
"30","Romania","Spain",16,0.3125,0.375,0.3125
"31","Romania","Czech Republic",31,0.193548387096774,0.225806451612903,0.580645161290323
"32","Romania","Turkey",25,0.52,0.28,0.2
"33","Romania","Croatia",4,0,0.25,0.75
"34","Romania","Germany",13,0.153846153846154,0.230769230769231,0.615384615384615
"35","Romania","Ukraine",6,0.5,0.166666666666667,0.333333333333333
"36","Romania","Poland",33,0.424242424242424,0.454545454545455,0.121212121212121
"37","Romania","Northern Ireland",6,0.333333333333333,0.166666666666667,0.5
"38","Romania","Belgium",12,0.416666666666667,0.166666666666667,0.416666666666667
"39","Romania","Italy",17,0.117647058823529,0.294117647058824,0.588235294117647
"40","Romania","Repulic of Ireland",5,0.2,0.4,0.4
"41","Romania","Sweden",8,0.25,0.375,0.375
"42","Romania","Portugal",11,0.363636363636364,0.181818181818182,0.454545454545455
"43","Romania","Iceland",2,1,0,0
"44","Romania","Austria",8,0.125,0.625,0.25
"45","Romania","Hungary",24,0.208333333333333,0.333333333333333,0.458333333333333
"46","Albania","Switzerland",6,0,0.166666666666667,0.833333333333333
"47","Albania","England",4,0,0,1
"48","Albania","Wales",2,0,0.5,0.5
"49","Albania","Russia",2,0.5,0,0.5
"50","Albania","Slovakia",18,0.333333333333333,0.166666666666667,0.5
"51","Albania","Spain",5,0,0,1
"52","Albania","Czech Republic",5,0.4,0,0.6
"53","Albania","Turkey",9,0.333333333333333,0.222222222222222,0.444444444444444
"54","Albania","Croatia",18,0.277777777777778,0.277777777777778,0.444444444444444
"55","Albania","Germany",14,0,0.0714285714285714,0.928571428571429
"56","Albania","Ukraine",5,0,0.2,0.8
"57","Albania","Poland",11,0.0909090909090909,0.272727272727273,0.636363636363636
"58","Albania","Northern Ireland",9,0.222222222222222,0.222222222222222,0.555555555555556
"59","Albania","Belgium",2,0.5,0,0.5
"60","Albania","Italy",1,0,0,1
"61","Albania","Repulic of Ireland",4,0,0.25,0.75
"62","Albania","Sweden",5,0.2,0.2,0.6
"63","Albania","Portugal",7,0.142857142857143,0.142857142857143,0.714285714285714
